"","seqnames","start","end","width","strand","location","location.1","name","score","a_counts","a_total","b_counts","b_total","a_mod_percentages","b_mod_percentages","a_pct_modified","b_pct_modified","map_pvalue","effect_size","balanced_map_pvalue","balanced_effect_size","pct_a_samples","pct_b_samples","replicate_map_pvalues","replicate_effect_sizes","gene_id","gene_id_strand","gene_description"
"1","chr1",121695871,121695872,2,"*","chr1:121695871-121695872","chr1:121695871-121695872",".",4.09942003414375,"h:1,m:15",141,"h:0,m:34",146,"h:0.71,m:10.64","h:0.00,m:23.29",0.11347517,0.23287672,0.327974747040653,-0.119401535023803,0.015769120405513,-0.151004728132388,75,100,"-","-",NA,NA,NA
"2","chr1",124153984,124153985,2,"*","chr1:124153984-124153985","chr1:124153984-124153985",".",4.90100812146409,"a:3",88,"a:20",119,"a:3.41","a:16.81",0.03409091,0.16806723,0.0024423943686498,-0.133976317799847,0.005758382556525,-0.119363395225464,75,75,"1,0.002462976956987418,1","-0.10235507246376813,-0.22727272727272727,-0.037037037037037035",NA,NA,NA
"3","chr1",124177350,124177351,2,"*","chr1:124177350-124177351","chr1:124177350-124177351",".",2.10825067241888,"h:2,m:42",140,"h:1,m:28",149,"h:1.43,m:30.00","h:0.67,m:18.79",0.31428573,0.19463088,0.0330231829485012,0.119654841802493,0.0348878556817793,0.109183673469388,100,75,"-","-",NA,NA,NA
"4","chr1",124203828,124203829,2,"*","chr1:124203828-124203829","chr1:124203828-124203829",".",2.78888716579991,"h:0,m:25",102,"h:0,m:17",146,"h:0.00,m:24.51","h:0.00,m:11.64",0.24509804,0.11643836,0.0844938362359998,0.128659683051303,0.0010783897453981,0.177287581699346,75,75,"1,0.11360353576058084,0.0017339200221403272","0.023717948717948717,0.10649895178197064,0.39666666666666667",NA,NA,NA
"5","chr1",124204400,124204401,2,"*","chr1:124204400-124204401","chr1:124204400-124204401",".",2.83521478625971,"h:1,m:49",105,"h:1,m:104",165,"h:0.95,m:46.67","h:0.61,m:63.03",0.47619048,0.6363636,0.0418627825907563,-0.16017316017316,0.0066956499871388,-0.191869918699187,75,100,"-","-",NA,NA,NA
"6","chr1",124266896,124266897,2,"*","chr1:124266896-124266897","chr1:124266896-124266897",".",2.98638106811512,"h:1,m:48",118,"h:2,m:72",126,"h:0.85,m:40.68","h:1.59,m:57.14",0.41525424,0.5873016,0.0324878272468215,-0.172047350013452,0.0114774729690918,-0.200778642936596,100,100,"0.02225189718062552,1,0.27525196333242924,0.6613162797650984","-0.3536439665471924,-0.05929487179487175,-0.25,-0.13043478260869568",NA,NA,NA
"7","chr1",146247677,146247678,2,"*","chr1:146247677-146247678","chr1:146247677-146247678",".",2.39782981920771,"a:18",101,"a:5",78,"a:17.82","a:6.41",0.17821783,0.06410257,0.0543736478877939,0.114115257679614,0.01018374494565,0.123154623154623,75,75,"1,0.07582562706815503,0.4093279333522451","0.034545454545454546,0.1541964866623292,0.1497584541062802","NBPF14","+","NBPF member 14"
"8","chr1",227820034,227820035,2,"*","chr1:227820034-227820035","chr1:227820034-227820035",".",4.21227725159815,"h:4,m:99",132,"h:3,m:78",87,"h:3.03,m:75.00","h:3.45,m:89.66",0.780303,0.9310345,0.0069478122803517,-0.15073145245559,0.01165999469255,-0.146812957157785,75,75,"0.19860804321891856,0.26816848820414013,0.07162591208005152","-0.14035087719298245,-0.12592592592592589,-0.19999999999999996",NA,NA,NA
"9","chr1",227822173,227822174,2,"*","chr1:227822173-227822174","chr1:227822173-227822174",".",3.0320621039175,"h:1,m:112",148,"h:1,m:98",111,"h:0.68,m:75.68","h:0.90,m:88.29",0.7635135,0.8918919,0.0240339401823025,-0.128378378378378,0.0207930410595811,-0.133786848072562,75,100,"-","-",NA,NA,NA
"10","chr1",227971936,227971937,2,"*","chr1:227971936-227971937","chr1:227971936-227971937",".",2.32654791098037,"h:2,m:85",173,"h:2,m:61",169,"h:1.16,m:49.13","h:1.18,m:36.09",0.50289017,0.37278107,0.162825628938951,0.127218934911243,0.008925611742258,0.174227799227799,75,100,"-","-",NA,NA,NA
